Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Gasolina 95 E5;Gasolina 95 E10;Gasolina 95 E5 Premium;Gasolina 98 E5;Gasolina 98 E10;Gasóleo A;Gasóleo Premium;Gasóleo B;Gasóleo C;Bioetanol;Biodiésel;Gases licuados del petróleo;Gas natural comprimido;Gas natural licuado;Hidrógeno;Gasóleo de uso marítimo;Rótulo;Tipo;Horario
BARCELONA;MATARÓ;MATARO;08301; ALFONSO X EL SABIO, S/N, ;D;2,449306;41,545472;02/11/2023 15:25;1,679;;;1,809;;1,509;;;;;;;;;;;Q8;;L-D: 24H
VALENCIA / VALÈNCIA;GANDIA;GRAU I PLATJA;46730; AVENIDA DEL GRAO, 164, ;D;-0,161917;38,989389;02/11/2023 13:59;1,689;;;1,839;;1,669;1,759;;;;;;;;;;MOSCARDÓ;;L-D: 06:00-22:00
CUENCA;ALIAGUILLA;ALIAGUILLA;16313; AVENIDA TEJEDA, 12;D;-1,327639;39,741444;30/10/2023 16:26;1,688;;;;;1,639;;1,229;;;;;;;;;(SIN RÓTULO);;L-D: 24H
GRANADA;PADUL;PADUL;18640; BARRIADA LAS ESPERILLAS, ;N;-3,636056;37,028250;02/11/2023 14:30;1,629;;;1,769;;1,619;1,699;1,379;;;;0,919;;;;;SHELL PADUL;;L-D: 06:00-22:00
GIRONA;MAÇANET DE LA SELVA;MAÇANET DE LA SELVA;17412; C-35  KM.82,5, ;N;2,740917;41,781139;02/11/2023 13:55;1,699;;;1,829;;1,689;1,789;;;;;0,939;1,289;;;;GALP;;L-D: 06:00-22:00
LLEIDA;VALLFOGONA DE BALAGUER;VALLFOGONA DE BALAGUER;25680; C/ TARREGA, 4, ;N;0,826750;41,788139;02/11/2023 10:56;1,499;;;1,799;;1,579;1,619;;;;;;;;;;GADCAR;;L-S: 09:30-21:30
VALENCIA / VALÈNCIA;BUÑOL;BUÑOL;46360; CARR VP-3031, 1, ;D;-0,777972;39,430472;03/11/2023 00:00;1,699;;;1,859;;1,739;1,839;;;;;;;;;;REPSOL;;"L-S: 06:00-22:00; D: 07:00-22:00"
BALEARS (ILLES);SANTA MARGALIDA;CA'N PICAFORT;07458; CARRETERA ARTA-PTO.ALCUDIA,99, ;N;3,152361;39,762000;02/11/2023 09:13;1,729;;;1,889;;1,749;1,839;;;;;;;;;; BP CA SESTRELLA;;L-S: 06:30-21:00
SEVILLA;CANTILLANA;CANTILLANA;41320; CARRETERA ESTACIÓN S/N, ;D;-5,820083;37,605389;03/11/2023 07:08;1,649;;;;;1,709;1,769;1,309;;;;;;;;;REPSOL;;L-D: 06:00-22:00
LEÓN;SAN EMILIANO;SAN EMILIANO;24144; CL  626, ;I;-5,997528;42,946917;01/11/2023 08:00;1,719;;;;;1,629;1,689;;;;;;;;;;LISARMINIA;;L-D: 08:00-20:00
BARCELONA;TERRASSA;TERRASSA;08221; COLOM ESQUINA AV TEXTIL - POL.IND. SANTA MARGARIDA 2, ;N;2,027500;41,545722;02/11/2023 15:25;1,529;;;1,649;;1,534;1,604;;;;;;;;;;Q8;;L-D: 24H
CÁCERES;CUACOS DE YUSTE;CUACOS DE YUSTE;10430; CR C904, KM 19.800, ;D;-5,596611;40,049833;03/11/2023 00:00;1,619;;;;;1,649;1,709;;;;;;;;;;REPSOL;;"L-V: 09:00-20:00; S: 09:00-14:00"
GUADALAJARA;BERNINCHES;BERNINCHES;19133; CTR. N320 PK 239,500, ;I;-2,857028;40,551639;03/11/2023 00:00;1,659;;;1,819;;1,669;1,769;;;;;;;;;;REPSOL;;L-D: 08:00-22:00
BURGOS;VALLE DE VALDEBEZANA;CILLERUELO DE BEZANA;09572; CTRA N-623  BURGOS-SANTANDER  KM 83, ;I;-3,849417;42,970556;31/10/2023 13:37;1,678;;;1,798;;1,619;1,659;;;;;;;;;;AVIA;;L-D: 08:00-20:00
BURGOS;MIRANDA DE EBRO;MIRANDA DE EBRO;09200; CTRA NACIONAL 1 KM 318,8, ;I;-2,937500;42,692944;03/11/2023 00:00;1,689;;;1,839;;1,689;1,759;;;;;;;;;;REPSOL;;L-V: 06:00-21:00
CASTELLÓN / CASTELLÓ;BENICARLÓ;BENICARLO;12580; CTRA NACIONAL 340 KM 133 - CENTRO COMERCIAL COSTA AZAHAR, ;N;0,394667;40,410222;02/11/2023 13:32;1,519;;;1,699;;1,469;1,599;;;;;;;;;;FM;;L-D: 24H
MURCIA;JUMILLA;JUMILLA;30520; CTRA. NAL. 344  JUMILLA - YECLA  (ALTIPLANO), ;N;-1,270611;38,560000;30/10/2023 09:16;1,639;;;;;1,519;1,549;1,395;;;;;;;;;RENESUR-EL ALTIPLANO;;L-D: 00:00-23:59
BARCELONA;SITGES;SITGES;08870; EIX 2 PARCELA 12-14 - POL.IND. MAS ALBA, ;N;1,813194;41,249222;02/11/2023 15:25;1,669;;;1,849;;1,559;1,629;;;;;;;;;;Q8;;L-D: 24H
ALICANTE;BENISSA;BENISSA;03720; JUAN DE LA CIERVA,13  POLIGONO INDUSRTIAL LAPEDRERA, ;N;0,076583;38,726750;27/10/2023 12:36;1,729;;;1,889;;1,659;1,759;;;;;1,059;;;;;MEROIL;;L: 07:00-21:00
MURCIA;MOLINA DE SEGURA;MOLINA DE SEGURA;30500; Mª ASCENSIÓN CAMPILLO GARCÍA, ;I;-1,233944;38,085444;02/11/2023 12:31;1,499;;;1,699;;1,519;1,549;1,299;;;;0,905;;;;;GLOBAL TANK LA SERRETA;;L-D: 24H
NAVARRA;ARCOS (LOS);ARCOS (LOS);31210; MALVASIA, 5;N;-2,191722;42,568333;30/10/2023 14:48;;;;1,769;;1,629;;;;;;;;;;;AVIA;;"L-V: 07:00-22:00; S: 10:00-14:00 y 16:00-22:00"
CÓRDOBA;HINOJOSA DEL DUQUE;HINOJOSA DEL DUQUE;14270; MARQUES DE SANTILLANA 143, ;D;-5,136278;38,495972;02/11/2023 17:05;1,496;;;;;1,485;;1,143;;;;;;;;;OLIVARERA NTRA.SRA.DEL CARMEN;;L-D: 24H
MÁLAGA;ANTEQUERA;ANTEQUERA;29200; N-331 KM 114,2, ;D;-4,566444;37,112694;03/11/2023 00:00;1,709;;;;;1,719;1,779;;;;;;;;;;REPSOL;;L-D: 24H
ASTURIAS;VALDÉS;LUARCA;33700; N-634, 509,120;I;-6,570333;43,533611;02/11/2023 19:16;1,764;;;1,874;;1,724;1,764;;;;;;;;;;GALP;;L-D: 07:00-21:00
CIUDAD REAL;MANZANARES;MANZANARES;13200; PASEO COLÓN, S/N;D;-3,372222;38,997972;03/11/2023 00:00;1,619;;;;;1,669;;;;;;;;;;;REPSOL;;L-S: 08:00-14:00
MURCIA;PUERTO LUMBRERAS;PUERTO LUMBRERAS;30890; POL. IND. DESCANSO   PARKING DE CAMIONES, ;N;-1,783361;37,584250;30/10/2023 10:31;1,587;;;;;1,517;;;;;;;;;;;PARKING DE CAMIONES;;L-D: 24H
TARRAGONA;AMPOSTA;AMPOSTA;43870; SAN CRISTOBAL S/N, ;N;0,585667;40,703167;02/11/2023 15:25;1,489;;;1,719;;1,509;1,579;;;;;;;;;;Q8;;L-D: 24H
GIPUZKOA;OÑATI;OÑATI;20560; SANTXOLOPETEGI AUZOA, 25;D;-2,435417;43,053583;03/11/2023 00:00;1,689;;;1,809;;1,709;1,769;1,397;;;;;;;;;REPSOL;;L-D: 05:00-22:00
RIOJA (LA);ALBELDA DE IREGUA;ALBELDA DE IREGUA;26120; TERMINO EL SILO, ;N;-2,472889;42,353361;30/10/2023 12:01;;;;;;1,708;;;;;;;;;;;E.S. IREGUA, S.L;;L-D: 24H
SALAMANCA;VECINOS;VECINOS;37450;(EL TREBOL) AVD. JOSE ANTONIO Nº 7 (SALAMANCA-CORIA km 30,4);D;-5,877528;40,777472;26/10/2023 22:45;1,586;;;1,726;;1,548;1,596;1,329;;;;;;;;;EL TREBOL;;"L-S: 07:00-22:00; D: 08:00-22:00"
SALAMANCA;SALAMANCA;SALAMANCA;37008;(EL TREBOL) CTRA. FREGENEDA Nº 12-22 SALAMANCA;N;-5,672750;40,955806;26/10/2023 22:46;1,586;;;1,728;;1,548;1,596;1,329;;;;;;;;;EL TREBOL;;"L-S: 07:00-22:00; D: 08:00-22:00"
SALAMANCA;CALVARRASA DE ARRIBA;CALVARRASA DE ARRIBA;37191;*EL TREBOL* CR.ALBA DE TORMES-PIEDRAHITA  KM 5.200 km 8,7;D;-5,586750;40,894167;26/10/2023 22:44;1,586;;;1,728;;1,548;1,596;1,329;;;;;;;;;EL TREBOL;;"L-S: 07:00-22:00; D: 08:00-22:00"
CIUDAD REAL;HERENCIA;HERENCIA;13640;420 km 275;D;-3,344889;39,373250;03/11/2023 00:00;1,609;;;1,759;;1,679;1,779;1,321;;;;;;;;;PETRONOR;;L-D: 06:00-12:00
CÁDIZ;JEREZ DE LA FRONTERA;JEREZ DE LA FRONTERA;11408;A 480 KM 25,8;I;-6,163639;36,682111;02/11/2023 14:00;1,599;;;1,739;;1,594;1,674;;;;;;;;;;SHELL;;L-V: 06:00-22:00
ZARAGOZA;MUELA (LA);MUELA (LA);50196;A II, KM km 299,3;D;-1,099611;41,585750;02/11/2023 14:00;1,669;;;1,809;;1,689;1,769;;;;;0,899;;;;;SHELL;;L-D: 24H
CORUÑA (A);CARIÑO;CARIÑO;15360;A PEDRA;I;-7,878278;43,731806;30/10/2023 09:20;1,729;;;1,859;;1,719;1,789;;;;;;;;;;ORTEGAL OIL;;L-D: 07:00-22:00
CÁDIZ;JEREZ DE LA FRONTERA;JEREZ DE LA FRONTERA;11407;A- 4 km 628.5;I;-6,071500;36,758528;02/11/2023 14:00;1,679;;;1,819;;1,669;1,749;;;;;;;;;;SHELL;;L-D: 06:00-22:00
BURGOS;FUENTESPINA;FUENTESPINA;09471;A-1 km 152,8;D;-3,684833;41,616306;03/11/2023 00:00;1,684;;1,744;1,816;;1,679;1,745;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
ZARAGOZA;ALBERITE DE SAN JUAN;ALBERITE DE SAN JUAN;50529;A-121 km 2;D;-1,470056;41,815722;03/11/2023 00:00;1,434;;1,769;;;1,665;1,769;1,349;;;;;;;;;CEPSA;;L-V: 09:00-13:00
HUESCA;BALLOBAR;BALLOBAR;22234;A-131 km 16,8;D;0,194139;41,624333;30/10/2023 11:34;1,609;;;;;1,639;1,709;1,289;;;;;;;;;CEPSA;;"L-V: 07:00-20:30; S: 07:00-14:00; D: 07:00-13:00"
HUESCA;SOTONERA (LA);ESQUEDAS;22810;A-132 km 14;D;-0,548472;42,211917;31/10/2023 13:42;1,659;;;;;1,689;1,759;1,299;;;;;;;;;REPSOL;;"L-V: 06:30-21:00; S-D: 07:30-21:00"
HUESCA;LABUERDA;LABUERDA;22360;A-138 km 50,53;N;0,132528;42,446444;30/10/2023 08:40;1,705;;;1,858;;1,715;1,781;1,399;;;;;;;;;ESTACION DE SERVICIO RV;;L-D: 06:30-22:30
HUESCA;TAMARITE DE LITERA;TAMARITE DE LITERA;22550;A-140 km 13,5;I;0,419222;41,863667;30/10/2023 00:00;1,599;;;1,799;;1,590;;;;;;;;;;;ESC;;L-D: 24H
BARCELONA;MOLINS DE REI;MOLINS DE REI;08750;A-2 km 8,000;N;2,024121;41,391917;03/11/2023 02:22;1,689;;1,739;;;1,629;1,699;;;;;0,959;;;;;GALP;;L-D: 24H
CÁDIZ;JEREZ DE LA FRONTERA;JEREZ DE LA FRONTERA;11570;A-2003 km 25,5;D;-5,857505;36,628164;03/11/2023 07:50;1,739;;;;;1,699;;1,419;;;;;;;;;LIBRE;;L-D: 07:00-22:00
LEÓN;SAHAGÚN;SAHAGUN;24320;A-231 km 49;D;-5,049028;42,380083;03/11/2023 00:00;1,654;;;1,786;;1,689;1,789;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
LEÓN;SAHAGÚN;SAHAGUN;24320;A-231 km 50;I;-5,049028;42,381389;03/11/2023 00:00;1,654;;;1,786;;1,689;1,789;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
JAÉN;FUERTE DEL REY;FUERTE DEL REY;23180;A-311 (JAEN-ANDUJAR) km 9,4;I;-3,876278;37,877250;30/10/2023 08:14;1,659;;;;;1,589;1,649;1,279;;;;;;;;;AGLA;;L: 07:00-22:00
GRANADA;BAZA;BAZA;18800;A-334 km 4.5;D;-2,766909;37,481666;31/10/2023 00:00;1,709;;;1,809;;1,749;1,829;;;;;;;;;;REPSOL;;L-D: 05:00-00:00
CÓRDOBA;CABRA;CABRA;14940;A-340 km 53;D;-4,402222;37,456056;27/10/2023 18:33;1,609;;;;;1,543;;1,296;;;;;;;;;DISPESUBBÉTICA S.L.;;L-D: 06:00-22:00
GRANADA;ALBUÑOL;ALBUÑOL;18700;A-345 km 64,7;I;-3,182889;36,761972;03/11/2023 00:00;1,649;;;1,779;;1,689;1,769;;;;;;;;;;REPSOL;;L: 07:00-20:00
VALENCIA / VALÈNCIA;MONTESA;MONTESA;46692;A-35 km 39;I;-0,629028;38,954306;02/11/2023 15:00;1,709;;;;;1,709;1,789;;;;;;;;;;SHELL;;L-D: 07:00-23:00
MÁLAGA;ANTEQUERA;ANTEQUERA;29200;A-354 km 11;I;-4,549972;37,022722;03/11/2023 00:00;1,679;;;1,799;;1,699;1,759;;;;;;;;;;REPSOL;;L-D: 07:00-23:00
MÁLAGA;ALMARGEN;ALMARGEN;29330;A-384 km 44;I;-5,001444;37,005806;30/10/2023 09:23;1,759;;1,819;1,879;;1,749;1,839;;;;;;;;;;CEPSA;;L: 06:00-22:00
SEVILLA;DOS HERMANAS;DOS HERMANAS;41700;A-4 km 552,4;I;-5,952556;37,296389;03/11/2023 00:00;1,669;;1,749;1,801;;1,715;1,795;;;;;1,009;;;;;CEPSA;;"L-V: 07:00-21:00; S: 07:00-15:00"
SEVILLA;CAZALLA DE LA SIERRA;CAZALLA DE LA SIERRA;41370;A-432 km 45,5;D;-5,763222;37,922250;31/10/2023 13:04;1,669;;1,729;;;1,729;1,789;1,459;;;;;;;;;CEPSA;;L-D: 24H
MÁLAGA;CASABERMEJA;CASABERMEJA;29160;A-45 km 147,8;I;-4,429333;36,897833;03/11/2023 10:00;1,699;;1,759;;;1,709;1,829;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
HUELVA;MOGUER;MOGUER;21880;A-494 km 7.100;I;-6,838583;37,264861;30/10/2023 11:38;1,679;;;1,789;;1,709;1,779;1,363;;;;;;;;;REPSOL;;L: 07:00-23:00
HUELVA;SAN BARTOLOMÉ DE LA TORRE;SAN BARTOLOME DE LA TORRE;21510;A-495  (AVDA PORTUGAL) km 13;N;-7,098583;37,444222;30/10/2023 14:33;1,700;;;1,869;;1,595;;;;;;;;;;;HIGUEROIL;;L-D: 06:00-22:00
CÁCERES;TRUJILLO;TRUJILLO;10200;A-5 km 245,2;D;-5,835417;39,517556;03/11/2023 06:00;1,669;;1,745;;;1,739;1,839;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
BADAJOZ;MÉRIDA;MERIDA;06800;A-5 km 351,5;D;-6,448083;38,879583;03/11/2023 09:00;1,639;;1,699;;;1,669;1,749;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
TOLEDO;CASARRUBIOS DEL MONTE;CASARRUBIOS DEL MONTE;45950;A-5 km 47,7;D;-4,136000;40,184528;30/10/2023 12:19;1,708;;;1,838;;1,718;1,788;;;;;;;;;;REPSOL;;L-D: 24H
MADRID;ROZAS DE MADRID (LAS);ROZAS DE MADRID (LAS);28230;A-6 km 25,5;D;-3,897500;40,552750;30/10/2023 07:00;1,698;;;1,798;;1,688;1,758;;;;;;;;;;REPSOL;;L-D: 24H
LEÓN;VEGA DE VALCARCE;PORTELA DE VALCARCE (LA);24524;A-6, SALIDA 419/420 km 419;I;-6,914083;42,658806;28/10/2023 00:00;1,659;;;;;1,659;;1,229;;;;;;;;;VALCARCE;;L-D: 24H
VALLADOLID;SIMANCAS;SIMANCAS;47130;A-62 km 138,6;D;-4,860583;41,566278;03/11/2023 06:00;1,674;;;1,806;;1,679;1,795;;;;;;;;;;CEPSA;;L-D: 24H
VALLADOLID;SIETE IGLESIAS DE TRABANCOS;SIETE IGLESIAS DE TRABANCOS;47511;A-62 km 177,8;D;-5,178088;41,346954;03/11/2023 06:00;1,674;;1,739;;;1,675;1,795;;;;;;;;;;CEPSA;;L-D: 24H
SALAMANCA;PEDROSILLO EL RALO;PEDROSILLO EL RALO;37427;A-62 km 225;I;-5,544444;41,054917;03/11/2023 00:00;1,674;;1,774;;;1,709;1,809;;;;;;;;;;CEPSA;;L-D: 06:00-23:59
SALAMANCA;ALDEHUELA DE LA BÓVEDA;ALDEHUELA DE LA BOVEDA;37460;A-62 km 275;D;-6,050750;40,849972;02/11/2023 14:53;1,699;;;;;1,699;;;;;;;;;;;BERNAL;;L-D: 07:30-23:00
PALENCIA;VILLODRIGO;VILLODRIGO;34257;A-62 km 41,6;D;-4,079667;42,159083;03/11/2023 00:00;1,669;;;1,801;;1,709;1,789;;;;;;;;;;CEPSA;;L-D: 08:00-21:00
ALICANTE;TIBI;TIBI;03109;A-7 km 17;D;-0,603167;38,498222;03/11/2023 00:00;1,689;;;1,831;;1,659;1,749;;;;;;;;;;BP XIRAU;;L-D: 06:30-22:00
SEVILLA;ALCALÁ DE GUADAÍRA;ALCALA DE GUADAIRA;41500;A-92 km 15,4;D;-5,827611;37,346333;03/11/2023 10:00;1,664;;1,725;;;1,745;1,819;1,399;;;;;;;;;CEPSA;;L-D: 24H
GRANADA;ALBOLOTE;ALBOLOTE;18220;A-92 km 239,000 ;I;-3,667139;37,232667;03/11/2023 07:00;1,669;;;1,799;;1,669;1,749;;;;;;;;;;GALP;;L-D: 24H
GRANADA;ALBOLOTE;ALBOLOTE;18220;A-92 km 239,000;D;-3,668417;37,231417;03/11/2023 07:00;1,669;;;1,799;;1,669;1,749;;;;;;;;;;GALP;;L-D: 24H
SEVILLA;ALCALÁ DE GUADAÍRA;ALCALA DE GUADAIRA;41500;A-92 SEVILLA-MALAGA km 5.900;I;-5,879972;37,370056;02/11/2023 14:00;1,689;;;;;1,687;1,767;;;;;;;;;;SHELL;;L-V: 06:00-21:00
ALMERÍA;FIÑANA;FIÑANA;04500;A-92A km 333;D;-2,832778;37,160889;02/11/2023 23:00;1,709;;;1,899;;1,699;1,769;1,419;;;;;;;;;CEPSA;;L-D: 06:00-00:00
JAÉN;POZO ALCÓN;POZO ALCON;23485;A315 TORREPEROGIL A BAZA km 63,15;N;-2,939667;37,707250;30/10/2023 07:27;1,659;;;1,789;;1,689;1,739;1,429;;;;;;;;;GALP;;L-D: 07:30-22:00
HUELVA;PALOS DE LA FRONTERA;PALOS DE LA FRONTERA;21810;A494 km 17,400;I;-6,872722;37,197472;03/11/2023 00:00;1,679;;;1,799;;1,709;1,789;1,358;;;;;;;;;REPSOL;;L: 07:00-22:00
CORUÑA (A);OZA DOS RÍOS;OZA;15380;AC 840 km 6,89;I;-8,190500;43,225889;30/10/2023 11:12;1,599;;;1,699;;1,569;1,609;1,299;;;;;;;;;E.S. OZAGAS;;L-D: 07:00-23:00
CORUÑA (A);MOECHE;SAN RAMON;15563;AC-862 km 24;I;-8,021861;43,565417;30/10/2023 09:10;1,729;;;;;1,719;1,789;1,420;;;;;;;;;ORTEGAL OIL;;"L-V: 08:00-21:30; S: 09:00-21:30"
CORUÑA (A);CERDIDO;FELGOSAS;15569;AC-862 km 31,30;I;-7,953694;43,603583;30/10/2023 10:14;1,729;;;1,859;;1,719;;;;;;;;;;;ORTEGAL OIL;;L-S: 08:00-14:00 y 16:00-20:00
BADAJOZ;FUENTE DE CANTOS;FUENTE DE CANTOS;06240;ACCESO A-66, S/N;D;-6,296556;38,230250;30/10/2023 09:42;1,689;;;1,839;;1,709;1,789;;;;;;;;;;GALP;;L-D: 06:00-23:00
GRANADA;DARRO;DARRO;18181;ACCESO A-92, 282;I;-3,266583;37,323028;23/10/2023 20:12;1,659;;;;;1,669;;;;;;;;;;;CARBURANTES A92;;"L-V: 07:00-21:00; S: 07:00-14:00"
ARABA/ÁLAVA;RIBERA ALTA;POBES;01420;ACCESO A2622, 0;N;-2,901944;42,811250;31/10/2023 09:29;1,749;;;;;1,749;;1,509;;;;;;;;;E.S. TOCALU ;;L-D: 07:00-22:00
SANTA CRUZ DE TENERIFE;GRANADILLA DE ABONA;AEROPUERTO REINA SOFIA (SANTA CRUZ DE TENERIFE);38610;ACCESO ACCESO AEROPUERTO TENERIFE SUR, 1;N;-16,574639;28,050000;02/11/2023 15:40;1,320;;;1,455;;1,285;1,409;;;;;;;;;;DISA AEROPUERTO TFS;;L-D: 24H
BARCELONA;SANT BOI DE LLOBREGAT;SANT BOI DE LLOBREGAT;08830;ACCESO AEROPUERTO DE BARCELONA, LADO AIRE, S/N;D;2,059222;41,293806;03/11/2023 06:00;1,799;;;;;1,739;;1,469;;;;;;;;;CEPSA;;L-D: 24H
PALMAS (LAS);ARRECIFE;ARRECIFE;35500;ACCESO AEROPUERTO DE LANZAROTE-LADO AIRE, SN;D;-13,603778;28,955417;03/11/2023 00:00;1,419;;;;;1,429;;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
PALMAS (LAS);ARRECIFE;ARRECIFE;35500;ACCESO AEROPUERTO DE LANZAROTE-LADO TIERRA, SN;D;-13,607806;28,953806;03/11/2023 00:00;1,449;;;1,579;;1,419;1,519;;;;;;;;;;CEPSA;;L-D: 07:00-23:00
CORUÑA (A);SANTIAGO DE COMPOSTELA;SANTIAGO DE COMPOSTELA;15702;ACCESO AÉROPUERTO LAVACOLLA, S/N;D;-8,422778;42,898944;31/10/2023 07:09;1,751;;;1,851;;1,701;1,761;;;;;;;;;;SHELL;;L-D: 07:00-23:00
TERUEL;PUEBLA DE VALVERDE (LA);PUEBLA DE VALVERDE (LA);44450;ACCESO AREA DE EXPANSION GANADERA, 2;D;-0,920306;40,210083;31/10/2023 21:00;;;;;;;;1,189;;;;;;;;;CEREALES TERUEL;;L-V: 24H
HUESCA;ALQUÉZAR;ALQUEZAR;22145;ACCESO BARBASTRO-ALQUEZAR, 0;I;0,015167;42,165056;30/10/2023 10:58;1,740;;;;;1,770;;;;;;;;;;;ESTACION DE SERVICIO ;;L-D: 09:00-14:00 y 16:00-19:00
ASTURIAS;CANGAS DE ONÍS;COVIELLA;33547;ACCESO CRA. NACIONAL 625, 0;D;-5,182750;43,388500;02/11/2023 19:16;1,699;;1,724;1,819;;1,729;1,819;1,499;;;;;;;;;GALP ARRIONDAS;;L-D: 06:00-22:00
SEVILLA;CORIA DEL RÍO;CORIA DEL RIO;41100;ACCESO CTR. SEVILLA - CORIA, KM. 11, ;D;-6,058278;37,293750;03/11/2023 09:47;1,579;;;;;1,529;;;;;;;;;;;PLENOIL;;L-D: 24H
BARCELONA;SANTPEDOR;SANTPEDOR;08251;ACCESO CTRA, 4;D;1,851972;41,779139;03/11/2023 00:00;1,669;;;1,809;;1,639;1,689;;;;;;;;;;REPSOL;;L-V: 06:00-22:00
LUGO;OUTEIRO DE REI;OUTEIRO DE REI;27150;ACCESO CTRA. N-VI.  ROBRA, ;I;-7,606361;43,084528;02/11/2023 15:25;1,639;;;1,789;;1,649;;;;;;;;;;;Q8;;L-D: 24H
TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;VANDELLOS;43891;ACCESO NORTE A VANDELLÒS (C-233 km 9,8);I;0,827250;41,020139;26/10/2023 12:29;1,495;;;;;1,475;1,535;;;;;;;;;;ALAS;;L-D: 07:00-13:00 y 15:00-21:00
HUESCA;LANAJA;LANAJA;22250;ACCESO PARTIDA SASO BAJO, S/N;I;-0,329750;41,775750;02/11/2023 08:30;;;;;;1,600;;1,210;;;;;;;;;AN ENERGÉTICOS - LANAJA;;L-D: 24H
VALENCIA / VALÈNCIA;MISLATA;MISLATA;46920;ACCESO PLAN PARCIAL LES VIÑES CV 403 NUEVO ACCESO A XIRIVELLA C-3215, SN;N;-0,433111;39,468611;03/11/2023 07:01;1,669;;1,719;;;1,629;1,699;;;;;;;;;;GALP;;L-D: 06:00-22:00
CÓRDOBA;ALMEDINILLA;ALMEDINILLA;14812;AD BRACANA SN;I;-4,075833;37,427944;30/10/2023 15:06;1,540;;;;;1,500;;1,130;;;;;;;;;S.C.A. NTRA. SRA. CARMEN;;L-D: 24H
VALLADOLID;ZARATÁN;ZARATÁN;47610;ADVA. GIJON, N-601 km 194,6;N;-4,768083;41,661806;19/10/2023 11:57;1,699;;;1,869;;1,669;1,769;;;;1,667;;;;;;REPOSTAR--ZARATAN;;L-D: 07:00-22:00
BALEARS (ILLES);PALMA DE MALLORCA;PALMA;07611;AE VIAL SALIDA AEROPUERTO, S.N.;D;2,722944;39,545917;03/11/2023 00:00;1,739;;;1,889;;1,739;1,799;1,487;;;;0,939;;;;;REPSOL;;L-D: 24H
MURCIA;MURCIA;MURCIA;30011;AGREGADO NARANJO, S/N;N;-1,116833;37,973611;30/10/2023 19:42;;;;;;;;;;;;0,989;;;;;REPSOL BUTANO;;"L-V: 08:00-22:00; S-D: 09:00-14:00"
PALENCIA;BARRUELO DE SANTULLÁN;BARRUELO DE SANTULLAN;34820;AGUILAR-BARRUELO km 13,3;N;-4,287667;42,894639;02/11/2023 09:30;1,619;;;;;1,649;;1,289;;;;;;;;;LOS LINARES;;"L-V: 08:00-21:00; S-D: 09:00-14:30 y 16:30-21:00"
MÁLAGA;ANTEQUERA;ANTEQUERA;29200;ALAMEDA DE ANDALUCÍA, 42;N;-4,565361;37,021833;03/11/2023 08:39;1,559;;;;;1,569;;;;;;;;;;;ASC CARBURANTES;;L-D: 24H
CÁDIZ;CHICLANA DE LA FRONTERA;CHICLANA DE LA FRONTERA;11130;ALAMEDA SOLANO, 18 (N-340A km 5,1);I;-6,144250;36,426639;03/11/2023 09:00;1,644;;1,719;1,776;;1,709;1,785;1,479;;;;;;;;;CEPSA;;L-D: 06:00-22:00
MADRID;MADRID;MADRID;28027;ALCALA, 284-286;D;-3,651333;40,432306;03/11/2023 00:00;1,689;;1,765;1,821;;1,719;1,829;;;;;;;;;;CEPSA;;L-D: 24H
VALENCIA / VALÈNCIA;ALDAIA;ALDAIA;46960;ALCAMPO  HIPERMERCADO  (C.C. BONAIRE) CTRA.  N-III KM. 345;N;-0,484833;39,470722;30/10/2023 14:09;1,599;;;1,799;;1,599;1,659;;;;;;;;;;ALCAMPO, S.A.;;L-S: 07:00-22:00
CASTELLÓN / CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;CASTELLON DE LA PLANA;12006;ALCAMPO HIPERMERCADO ( CENTRO COMERCIAL SALERA ) (CARRETERA 340 km 64.500);N;-0,065389;39,979472;31/10/2023 18:18;1,589;;;1,679;;1,579;1,599;;;;;;;;;;ALCAMPO;;L-D: 24H
TERUEL;CALANDA;CALANDA;44570;ALCOLEA-TARRAGONA S/N;D;-0,230722;40,944806;30/10/2023 12:50;1,579;;;;;1,599;;1,195;;;;;;;;;LA CALANDINA;;L-D: 24H
ASTURIAS;IBIAS;SAN ANTOLIN;33810;ALDEA AV AURELIO MENENDEZ, SN;D;-6,871306;43,038139;03/11/2023 00:00;1,679;;;;;1,689;;;;;;;;;;;CAMPSA;;L-D: 08:00-14:00 y 15:00-21:00
CÁDIZ;VEJER DE LA FRONTERA;MUELA LA;11150;ALDEA CARRETERA DE LA MUELA, S/N;D;-6,002778;36,270000;30/10/2023 15:10;;;;;;1,500;;1,230;;;;;;;;;CODISAL;;L-D: 07:00-22:00
